0.16	-1.0
0.72	-1.0
0.44	-1.0
1.0	-1.0
1.26	-1.0
1.53	-1.0
1.81	-1.0
2.35	-1.0
2.08	-1.0
2.63	-1.0
2.9	-1.0
3.18	-1.0
3.44	-1.0
3.72	-1.0
4.0	-1.0
4.51	-1.0
4.265	-1.0
4.81	-1.0
5.09	-1.0
5.37	-1.0
5.62	-1.0
5.9	-1.0
6.43	-1.0
6.99	-1.0
7.55	-1.0
8.08	-1.0
8.62	-1.0
9.17	-1.0
9.73	-1.0
10.27	-1.0
10.8	-1.0
11.36	-1.0
11.91	-1.0
12.45	-1.0
12.98	-1.0
13.54	-1.0
14.1	-1.0
14.63	-1.0
15.16	-1.0
15.72	-1.0
16.28	-1.0
16.81	-1.0
17.35	-1.0
17.9	-1.0
18.44	-1.0
19.0	-1.0
19.53	-1.0
20.09	-1.0
20.62	-1.0
21.18	-1.0
21.71	-1.0
22.27	-1.0
22.83	-1.0
23.36	-1.0
23.9	-1.0
24.45	-1.0
25.01	-1.0
25.54	-1.0
26.08	-1.0
26.64	-1.0
27.17	-1.0
27.73	-1.0
28.26	-1.0
28.82	-1.0
29.35	-1.0
29.91	-1.0
30.44	-1.0
31.0	-1.0
31.54	-1.0
32.07	-1.0
32.6	-1.0
33.16	-1.0
33.72	-1.0
34.27	-1.0
34.81	-1.0
35.37	-1.0
35.9	-1.0
36.46	-1.0
36.99	-1.0
37.55	-1.0
38.08	-1.0
38.64	-1.0
39.15	-1.0
39.73	-1.0
40.27	-1.0
40.8	-1.0
41.33	-1.0
41.91	-1.0
42.45	-1.0
42.98	-1.0
43.52	-1.0
44.07	-1.0
44.63	-1.0
45.17	-1.0
45.7	-1.0
46.28	-1.0
46.81	-1.0
47.35	-1.0
47.88	-1.0
48.46	-1.0
49.0	-1.0
49.53	-1.0
50.06	-1.0
50.65	-1.0
51.18	-1.0
51.71	-1.0
52.25	-1.0
52.83	-1.0
53.36	-1.0
53.9	-1.0
54.43	-1.0
54.99	-1.0
55.54	-1.0
56.08	-1.0
56.61	-1.0
57.19	-1.0
57.73	-1.0
58.26	-1.0
